,Lesion,Normal,accuracy,macro avg,weighted avg
precision,0.0,1.0,0.125,0.5,1.0
recall,0.0,0.125,0.125,0.0625,0.125
f1-score,0.0,0.2222222222222222,0.125,0.1111111111111111,0.2222222222222222
support,0.0,32.0,0.125,32.0,32.0
