,Lesion,Normal,accuracy,macro avg,weighted avg
precision,1.0,0.25,0.90625,0.625,0.9765625
recall,0.9032258064516129,1.0,0.90625,0.9516129032258065,0.90625
f1-score,0.9491525423728813,0.4,0.90625,0.6745762711864407,0.9319915254237287
support,31.0,1.0,0.90625,32.0,32.0
